canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value
Cn1cc(Nc2nccc(-c3ccc4c(c3)CN(C3COC3)CC[C@H]4NC(=O)c3cn(C(C)(C)C)nn3)n2)cn1,CHEMBL5083772,Inhibition,%,,INH,,
C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](c3ccc(=O)oc3)CC[C@]12O,CHEMBL399680,Inhibition,%,50.0,INH,%,50.0
C[C@]12CCC(=O)C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](c3ccc(=O)oc3)CC[C@]12O,CHEMBL2068968,Inhibition,%,50.0,INH,%,50.0
Cc1ncc(-c2ccc3nc(NC(=O)C4CC4)sc3c2)cc1NC(=O)OC1CCOCC1,CHEMBL5083542,Inhibition,%,17.0,INH,%,17.0
CC(C)(O)c1ccc(N2Cc3c(ccnc3-c3ccc(F)cc3OCC(F)(F)F)C2=O)cc1,CHEMBL5078078,Inhibition,%,15.5,INH,%,15.5
CC(C)(O)c1ccc(NC(=O)c2ccnn(-c3ccccc3OCC(F)(F)F)c2=O)cc1,CHEMBL5085509,Inhibition,%,-4.8,INH,%,-4.8
O=C(O)c1nn(Cc2ccc(Cl)c(Cl)c2)c(=O)c2cc(Oc3ccccc3)ccc12,CHEMBL5070753,Inhibition,%,,INH,,
CC(C)c1ccc(CC(=O)N[C@H](C)c2ccc(OCC(F)(F)F)cn2)cc1,CHEMBL1684950,Inhibition,%,80.0,INH,%,80.0
O=C(NC[C@H](c1ccc(Cl)cc1)N1CCOCC1)c1sc(-c2ncccn2)nc1C(F)(F)F,CHEMBL5086274,Inhibition,%,,INH,,
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,CHEMBL6966,Inhibition,%,,INH,,
CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,CHEMBL75,Inhibition,%,,INH,,
Fc1ccccc1-c1nnn2c1COC1CN(Cc3ccccc3)CC12,CHEMBL5173523,Inhibition,%,50.0,INH,%,50.0
Cc1nc(N2CCC3(CC2)CO[C@@H](C)[C@H]3N)cc(=O)n1-c1cccc(Cl)c1Cl,CHEMBL5196403,Inhibition,%,,INH,,
Cc1nc(N2CCC3(CC2)CO[C@@H](C)[C@H]3N)cc(=O)n1-c1cccc(Cl)c1Cl,CHEMBL5196403,Inhibition,%,,INH,,
CCN1CCc2cc(-c3nc(Nc4ccc(N5CCNCC5)cn4)ncc3F)ccc2C1=O,CHEMBL5170480,Inhibition,%,12.36,INH,%,12.36
CNC(=O)c1cncc(-c2cnc3cc(-c4cnn(C)c4)c(OC4CCOC4)nn23)c1,CHEMBL5208443,Inhibition,%,0.0,INH,%,0.0
CNC(=O)c1cncc(-c2cnn3cc(-c4cnn(C)c4)c(OC4CCOC4)nc23)c1,CHEMBL5199231,Inhibition,%,15.0,INH,%,15.0
C[C@H]1c2cccc(-c3cnn(C)c3)c2C[C@H](CO)N1C(=O)Cc1c(Cl)cccc1Cl,CHEMBL4468760,Inhibition,%,97.8,INH,%,97.8
Oc1ccc(C2CCC3(CC2)CC(O)C3)cc1,CHEMBL5186437,Inhibition,%,,INH,,
Nc1ccc(Oc2ccc(NC(=O)Nc3cccc(C(F)(F)F)c3)cc2)cn1,CHEMBL5190752,Inhibition,%,,INH,,
Cc1ncsc1CCOc1ccc(-c2ccn[nH]2)nc1,CHEMBL5192170,Inhibition,%,-6.2,INH,%,-6.2
Cc1ncsc1CCOc1cnc(-c2ccn[nH]2)nc1,CHEMBL5180285,Inhibition,%,0.1,INH,%,0.1
Fc1ccc(COc2ccc(-c3ccn[nH]3)nc2)cc1,CHEMBL5173608,Inhibition,%,-13.0,INH,%,-13.0
N#Cc1ccc(COc2ccc(-c3ccn[nH]3)nc2)cc1,CHEMBL5195099,Inhibition,%,-3.1,INH,%,-3.1
N#Cc1cccc(COc2ccc(-c3ccn[nH]3)nc2)c1,CHEMBL5183418,Inhibition,%,2.5,INH,%,2.5
CS(=O)(=O)c1cccc(COc2ccc(-c3ccn[nH]3)nc2)c1,CHEMBL5205521,Inhibition,%,9.0,INH,%,9.0
CS(=O)(=O)c1ccc(COc2ccc(-c3ccn[nH]3)nc2)cc1,CHEMBL5195431,Inhibition,%,-7.3,INH,%,-7.3
Cc1ncsc1CCOc1ccc(-c2ccn[nH]2)cc1,CHEMBL5204432,Inhibition,%,1.4,INH,%,1.4
CC(=O)N1CCC(COc2ccc(-c3ccn[nH]3)nc2)CC1,CHEMBL5206230,Inhibition,%,-4.1,INH,%,-4.1
Cc1ncsc1CCOc1ccc(-c2ccn[nH]2)nc1,CHEMBL5192170,Inhibition,%,25.0,INH,%,25.0
Cc1ncsc1CCOc1cnc(-c2ccn[nH]2)nc1,CHEMBL5180285,Inhibition,%,15.0,INH,%,15.0
Fc1ccc(COc2ccc(-c3ccn[nH]3)nc2)cc1,CHEMBL5173608,Inhibition,%,81.0,INH,%,81.0
N#Cc1ccc(COc2ccc(-c3ccn[nH]3)nc2)cc1,CHEMBL5195099,Inhibition,%,38.0,INH,%,38.0
